Registration Number,Location Status,Licensee Name,Call Sign,Earth Station Latitude DMS,Earth Station Longitude DMS,Earth Station Latitude Decimal,Earth Station Longitude Decimal,Lower Frequency (MHz),Upper Frequency (MHz),Pointing Azimuth (degrees),Pointing Elevation Angle (degrees),Antenna Gain (dBi),Earth Station Site Elevation (meters),Earth Station Height AGL (meters),Earth Station Height AMSL (meters),GSO Satellite Longitude Decimal Degrees,Use for Tracking Telemetry and Command,Certification Date,Registration Last Updated,Call Sign Last Updated
FSS0001593,Inactive,"MCI COMMUNICATIONS SERVICES, INC.",E990175,"N38 43' 45.04""","W78 39' 25.16""",38.73,-78.66,"3,625.00","4,200.00",193.2,44.3,50.6,283.5,12,295.5,87,FALSE,11/17/2020,11/20/2020 14:39,11/20/2020 14:39
FSS0001603,Active,"Denali 20020, LLC",KA337,"N48 08' 46.68""","W119 41' 34.2""",48.15,-119.69,"3,625.00","4,200.00",244.5,12.7,57.1,390.5,18.5,409,-177,TRUE,9/7/2023,9/7/2023 11:28,9/7/2023 11:28
FSS0001606,Active,"Denali 20020, LLC",KA294,"N48 08' 50.52""","W119 41' 32.82""",48.15,-119.69,"3,625.00","4,200.00",244.5,12.7,54.3,385,13.5,398.5,-177,FALSE,9/7/2023,9/7/2023 11:29,9/7/2023 11:29
FSS0001609,Active,"Denali 20020, LLC",WB81,"N41 12' 06.8""","W74 31' 36.56""",41.2,-74.53,"3,700.00","4,200.00",195.7,41.2,54.1,190,13.5,203.5,85,FALSE,9/7/2023,9/7/2023 11:32,9/7/2023 11:32
FSS0001611,Active,"Denali 20020, LLC",WB81,"N41 12' 06.37""","W74 31' 35.95""",41.2,-74.53,"3,700.00","4,200.00",250.1,19.6,52.5,190,30,220,131,TRUE,9/7/2023,9/7/2023 11:32,9/7/2023 11:32
FSS0001613,Active,Intelsat License LLC,E860175,"N34 24' 20""","W118 53' 40""",34.41,-118.89,"3,700.00","4,200.00",134.5,38.9,50.5,305,9.3,314.3,-89,TRUE,12/1/2023,12/1/2023 20:59,12/1/2023 20:59
FSS0001615,Active,Intelsat License LLC,KA391,"N34 24' 22""","W118 53' 37""",34.41,-118.89,"3,700.00","4,200.00",253.8,13.6,52.2,302.1,13.1,315.2,178,TRUE,12/1/2023,12/1/2023 21:20,12/1/2023 21:20
FSS0001617,Active,Intelsat License LLC,E000363,"N34 24' 17""","W118 53' 39""",34.4,-118.89,"3,700.00","4,200.00",203.9,47.3,50.5,305,11.1,316.1,-133,TRUE,12/1/2023,12/1/2023 20:18,12/1/2023 20:18
FSS0001628,Inactive,SES Americom Inc.,E140095,"N39 22' 39.5""","W77 04' 51.5""",39.38,-77.08,"3,700.00","4,200.00",192.1,43.7,48.3,198.2,8.5,206.7,-84.85,TRUE,2/4/2020,11/16/2022 11:44,11/16/2022 11:44
FSS0001630,Inactive,SES Americom Inc.,E070181,"N39 22' 35.9""","W77 04' 48.3""",39.38,-77.08,"3,700.00","4,200.00",251.3,12.9,48.1,189,9.8,198.8,139,TRUE,2/4/2020,11/16/2022 11:43,11/16/2022 11:43
FSS0001632,Inactive,"SES Americom, Inc",E000275,"N39 22' 33""","W77 04' 50.9""",39.38,-77.08,"3,700.00","4,200.00",192.1,43.7,51.8,188.4,4,192.4,-84.85,TRUE,2/4/2020,11/16/2022 11:43,11/16/2022 11:43
FSS0001634,Inactive,"SES Americom, Inc",E070182,"N39 22' 38.9""","W77 04' 48.5""",39.38,-77.08,"3,700.00","4,200.00",195.4,43.3,51.6,192.6,14.6,207.2,-87,FALSE,2/4/2020,11/16/2022 11:43,11/16/2022 11:43
